,Psicológica,Física,Económica,Sexual,Laboral,Institucional,En línea,Años,Ambito,Jerárquico
118,0,0,1,0,0,1,1,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",1
119,1,0,1,0,0,1,1,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",0
120,1,1,1,1,0,1,1,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",0
121,0,0,0,0,0,0,0,Más de 20 años.,"Público (medios universitarios, nacionales o provinciales)",0
122,1,0,1,1,0,1,1,De 16 a 20 años.,"Privado (radio, diarios tv, medios digitales)",0
123,1,1,1,1,0,1,1,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",1
124,1,1,0,0,0,0,0,De 16 a 20 años.,"Privado (radio, diarios tv, medios digitales)",0
125,1,0,0,1,1,0,0,Más de 20 años.,Público y privado,0
126,1,0,0,1,0,0,1,Más de 20 años.,Público y privado,1
127,1,0,1,0,0,0,0,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",0
128,0,0,0,1,0,0,0,Más de 20 años.,"Público (medios universitarios, nacionales o provinciales)",0
129,1,0,1,0,0,1,1,De 6 a 10 años.,"Privado (radio, diarios tv, medios digitales)",0
130,1,0,1,0,0,0,1,De 11 a 15 años.,"Privado (radio, diarios tv, medios digitales)",0
131,1,1,1,0,0,1,0,De 11 a 15 años.,"Privado (radio, diarios tv, medios digitales)",0
132,1,0,1,1,0,0,1,Más de 20 años.,Público y privado,0
133,1,0,0,0,0,0,0,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",0
134,1,0,0,0,0,0,1,De 6 a 10 años.,"Privado (radio, diarios tv, medios digitales)",1
135,0,1,0,0,0,1,1,De 11 a 15 años.,"Privado (radio, diarios tv, medios digitales)",0
136,0,0,0,0,0,0,0,De 0 a 5 años.,"Privado (radio, diarios tv, medios digitales)",0
137,1,0,1,0,0,0,0,De 16 a 20 años.,Público y privado,0
138,0,0,0,1,1,1,0,De 16 a 20 años.,Público y privado,0
139,0,0,1,0,0,0,0,De 0 a 5 años.,"Privado (radio, diarios tv, medios digitales)",0
140,1,0,0,1,0,0,1,De 0 a 5 años.,"Privado (radio, diarios tv, medios digitales)",0
141,1,0,0,1,0,1,1,De 0 a 5 años.,Público y privado,0
142,1,0,1,0,0,1,1,De 6 a 10 años.,"Privado (radio, diarios tv, medios digitales)",0
143,1,1,1,1,0,1,1,De 11 a 15 años.,Público y privado,0
144,1,0,1,1,0,1,0,Más de 20 años.,Público y privado,0
145,1,1,1,1,0,1,1,De 16 a 20 años.,Público y privado,0
146,1,0,1,0,0,1,1,Más de 20 años.,Público y privado,0
147,0,0,0,0,0,1,0,De 16 a 20 años.,"Privado (radio, diarios tv, medios digitales)",0
148,1,0,1,1,0,1,0,Más de 20 años.,Público y privado,0
149,0,0,1,0,0,0,0,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",0
150,1,1,1,1,1,1,1,De 6 a 10 años.,Público y privado,0
151,1,0,0,1,0,0,1,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",1
152,0,0,0,0,0,0,1,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",1
153,1,0,0,0,0,1,0,Más de 20 años.,"Público (medios universitarios, nacionales o provinciales)",1
154,1,0,0,1,0,0,0,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",1
155,0,0,0,0,0,1,0,Más de 20 años.,"Público (medios universitarios, nacionales o provinciales)",0
156,0,0,1,0,0,0,0,De 6 a 10 años.,"Privado (radio, diarios tv, medios digitales)",0
157,0,0,0,0,0,0,0,De 0 a 5 años.,Público y privado,0
158,0,0,0,0,0,0,0,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",1
159,1,0,0,0,0,1,1,De 11 a 15 años.,Público y privado,0
160,1,0,1,0,0,1,0,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",0
161,1,0,0,0,0,0,0,De 0 a 5 años.,"Privado (radio, diarios tv, medios digitales)",0
162,0,0,1,1,0,0,0,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",0
163,1,0,1,0,1,1,1,Más de 20 años.,Público y privado,0
164,1,0,1,1,1,1,1,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",0
165,1,0,0,1,0,1,0,Más de 20 años.,"Público (medios universitarios, nacionales o provinciales)",1
166,1,0,0,1,0,0,0,De 6 a 10 años.,"Privado (radio, diarios tv, medios digitales)",1
167,0,0,0,0,0,0,0,De 0 a 5 años.,Público y privado,0
168,0,0,0,0,0,0,0,De 6 a 10 años.,"Público (medios universitarios, nacionales o provinciales)",0
169,1,0,0,1,0,0,1,De 11 a 15 años.,"Privado (radio, diarios tv, medios digitales)",0
170,0,0,0,1,0,0,0,De 16 a 20 años.,"Privado (radio, diarios tv, medios digitales)",0
171,1,0,0,1,0,1,1,De 11 a 15 años.,"Privado (radio, diarios tv, medios digitales)",0
172,1,0,1,1,0,0,0,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",1
173,1,1,1,1,1,1,0,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",1
174,1,0,1,0,0,1,0,De 6 a 10 años.,"Privado (radio, diarios tv, medios digitales)",1
